"","True Beta","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"",0.342818721429651,0.292702104677573,0.337364861630733,0.276880788173259,0.28080731804036,0.19351061599793,0.308324348547496,0.298253107105204,0.244787955811132,0.331895637931943,0.169724360879593,0.276281020468307,0.272764774239341,0.183262768602777,0.333838356013257,0.228355560181224,0.317237043951368,0.291874579503603,0.259384575589301,0.212825395125402,0.231841817542442,0.296244282846114,0.297169854794047,0.26231169969046,0.27451935410525,0.247379158299749,0.308767954823997,0.304105158457506,0.336252166848822,0.230112789152488,0.232099470745069,0.286972142244524,0.201492910935901,0.153041769902353,0.135555723116804,0.221170676581718,0.309411117188681,0.239398728938089,0.284175233574752,0.248886257275453,0.279789295588772,0.311276114867665,0.328621583097054,0.21678858708054,0.292089666389722,0.26786190405981,0.306514134973565,0.248891043907707,0.266021066798796,0.230917636346409,0.307600818580387,0.269944529385361,0.280438240170279,0.191454187228548,0.25290545539271,0.172963482762754,0.293229784996747,0.255890541247673,0.271048071691384,0.342093838471175,0.225848129864995,0.25068464837257,0.309560208621127,0.214461659741767,0.224167315704685,0.336025859357513,0.193560831762023,0.19774678571484,0.244351164022711,0.267800697377986,0.324409443763476,0.270810511885623,0.320079607716885,0.296126876674081,0.276981543373536,0.300189219257246,0.274941564794729,0.250987948727021,0.198725887930617,0.240691592620717,0.328637987203609,0.253315609448721,0.294774894632681,0.244704138400254,0.264120032373441,0.248373371086703,0.21493838420304,0.377582580828433,0.301948591570942,0.304609032517215,0.269356550267644,0.277322602495028,0.382237547824935,0.30544812273662,0.297685911553246,0.311504366584791,0.307773233674492,0.250283054688044,0.362679793937847,0.252422471468509,0.201688235004797
"",0,0,0,0.00353323041040207,0,0.0244956091159794,0,0,0,0,0.00679637452505757,0,0,0,0,0,0,0,0,0,0,0,0,0.000251478852738005,0.0254029569353669,0,0.00844797763046954,0.00897597187561575,0,0,0,0,0,0,0,0,0,0,0,0,0.00209158366253422,0,0,0,0,0.0626773949367445,0.0233421960131013,0,-0.0345315741342554,0.0298681867490147,-0.0505797288618043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212381939209563,0,0,0,0,0,0,0,0,0,0.00845525970630724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175418114182596,0,0,0,0,0,0
"",0,0.019176453517264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150499762998719,0,0,0,0,0,0,-0.0064944941097021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436304185191829,0,0,0,0,0.0131328920099927,0,0,0,0,0,0,0,0,0.00852116923381619,0,0,0,0.00418034536175798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00733925900252129,0,0,0,0.029451291223735,0,0,0,0,0,0,-0.00240769175399926,0.0209362292233593,0,0,0,0,0,0.0128785857663962,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353666678198377,0.0728407173493476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146580405779819,0,0,0,0,0,0,0,0,0,0.0173462591596506,0,0,0,0,0.00490661832248286,0,0,0,0,0,0,0,0,0,0,0,0,0.00122365304653772,0,0,0,-0.0418074080692349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041295522492972,0.0589481693258621,0,0.0407866263481624,0
"",0,0,0.00648170373227005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115438522236014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108670766401799,0,0,0,0,0,0,0,0,0,0.0116672249880957,0,0,0,0,-0.0545634210661327,-0.0152161374431564,0,0,-0.0292303119984886,0,0,0,-0.0100461952632652,0.0112056597573897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180562577339554,0,0,0,0,0,0,0,0,0,0.000999432938609012,0,0,0.0123360395622099,0,0,0,0,0,0,0,0.00909526167349846,0,0,0,0.0177739417044923,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0.0740713765499204,0,0,0,0.00819802628236754,0.0348533058387451,-0.0211221946742715,0,0,0.00630332029502809,0,0.00243086637831812,0,0.105616846655871,0,0,0.115375117040867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146678954403642,0,0,0,0,0.0466614454759287,0,0,0,0,0,0.00265219176161926,0,0.0024869079813976,0,0,0.00431757927219948,0.00960025096765106,0,0,0,0,0,0.02995075236502,0,0,0,0.0165948633922958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0878173777794743,0,0,0,0,0,0,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128890351602282,0,0.00387770896216302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241845577661536,0,0.0370492571234591,0,-0.0232755575858463,0,0,0,0,0,0,0.00975871560407842,0,0,0,0.00676822031061376,0,0,0,0.0572673033890123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00202774976132065,0,0,0,0,0,0.0483068131224136,0
"",0,0,0.0156338107349833,0,0,0,0,0,0.0252667371709587,0,0,0,0.03437148494103,0,0,0,0,0,0,0,0,0,0.0295406885114524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000419667458901929,0,0,0,0,0,0.000550586067431065,0,0,0,0,0,0,0,0.0403592573011536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00206221653421817,0,0,-0.00185601349415362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118724798786571,0,0,0,0,0,0
"",-0.0604879128575672,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0542481191667435,0,-0.111731395465303,0,0,-0.0640360012136369,0,-0.0710258669818113,0,0,0,0,0,0,0,0,0,0.0183239411102777,0,0,0,0,0,0,0,-0.0571223149416793,0,0,0,0,0,-0.0287554101534643,-0.0678358758854027,0,0,-0.0249327210737881,0,0,0,-0.00642632918287932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400293000066846,0,0,0,-0.0437094565335929,-0.0425435090061221,-0.0115085342698438,0,-0.0611886214249554,0,0,0,0
"",0,0,0,0,0,0,0,0,0,-0.000849805078108837,0,0,0,0,0.00476220940216911,0,0,0,0,0,0,0,0,0.0718512658552263,0.0636186588252952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365315002132694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028409117731708,0,0,0.0806435585715629,0,0,0,0,0,0,0,0,0,0,0,-0.0197722432358845,0,0,0.055739502394648,0,0,0,0.0222238228470664,0,0.0447365334434355,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0.00669841586677876,0.0344335032396379,0,0,0,0,0,0,0,0,0.0627712759155018,0,0,0,-0.0174067205010932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269051241221954,0,0,0,0,0,0,0.0139455147858617,-0.0278659568462618,0,0,0,0,0.00265586207104806,0,0,0,0,-0.0109126984140674,0,0,0,0.0337996032400926,0,-0.0799113002783108,0,0,0,0,0.0121284464607452,0,0,0,0,0,0,0,0,0,0,0,0.0210165050709941,0,0,-0.0677286748086222,0,0,0,0,0,0,0,0,0,0,-0.0448412531639956,0
"",0,0,-0.0070907854348517,0,0,0,0,0,0,0,0,0,0.0119670803655166,0,-0.0118470792008476,0,0,0,0,0,0,0,0,0,0,0,0.0258301500522185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00693876782944871,0,-0.0357896652693316,0,0,0,0.0483455846595402,0,0,0.0109082095538999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227715666117868,0,0,0,0,0,0,0,0.037153126145382,0,0,0,0,0,0,0.0747192605808045,0,0,0,0,0,0,0,0,0,0,0.047668754988539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157002654627797,0,0,0,0,0,0,0,0.0366046819477669,0,0,0,0,-0.00743479021139552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571805324129326,0.0465367244975378,0.0281690876629394,0,0,0,0,0,0.0402267115504968,0,0.0286742931162838,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00755264356124838,-0.0118641343047181,0,0,0,0,0,0,0.000776988465589333,0,0,0,0.0172879886830454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560935919958306,0,0,0,0,0,0,0,0,0.0734127200565499,0,0.001317024156425,0,0,0,0,0,0,0,0,-0.0240744995030887,0,0.0324089132274145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719616316205151
"",0,0,-0.0491458574769491,0,0,0,0,0,0,0,0.0121185100608536,0,0,0,0,0,0.0377153961229022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136654366656354,0,0,0,0.0150112449895147,0,0,0,0.0715031956577099,0,0,0,0,-0.0433497558301756,-0.0240742443529134,0.0382030824024521,0,0,0.048032992756388,0,0,0,0,0,0,0.0646536681085119,0,0,0,-0.000778845930172367,0,0,0,0,0,0,-0.00476715089311715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174638698070964,0
"",0,0.0510755113598021,0,0,0,0,0,0,0,0,0,0,0,0,0.0116522904282469,0,0.03958819979267,0,0,0.00180253709250256,0.0337517473075347,0,-0.00189643998108182,0,0,0,0,0,0,0,0,0,0,0.02327511002581,0,0,0,0,0.00582655435555809,0,0,0,0,0,0,0.0173688814350523,0.0184748708280438,0,0,0,0,0,0,0,0,0,0,0,0.0550031827290308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035756032425045,0,0,0,0,0,0,0,0,-0.000581856986898824,0,0,0,0,0,0,0,0,0,0,0,0.0276053704727678,0,0,0,0,0,0,0
