"","True Beta","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"",-2.42302505705641,-2.18024321932174,-2.14162388314504,-2.24914302242913,-2.30294390845208,-2.47699156258009,-2.31390250952571,-2.1918498396509,-2.40751789621617,-2.2862581880206,-2.3570994997127,-2.1638031614245,-2.15964449037885,-2.40953317431643,-2.25213686015801,-2.37806132619773,-2.24412661218651,-2.31146596434701,-2.39214077876345,-2.11052867996686,-2.38400354383068,-2.43097359515105,-2.35443895839947,-2.30007914718892,-2.45935367818856,-2.40842195528028,-2.23003871089641,-2.19807642695495,-2.31585212671675,-2.35774342164508,-2.13400349540753,-2.05276490229131,-2.27288735745393,-2.2595480293737,-2.37215700464951,-2.23380022216094,-2.25206296472709,-2.24878358748807,-2.2529676288615,-2.14115161406584,-2.27807379496501,-2.34414146699322,-2.50421105172973,-2.43974469844672,-2.40693695302687,-2.53622580267851,-2.37918742519479,-2.20752432957106,-2.36561930401204,-2.22496745626741,-2.30191546539585,-2.07692496580578,-2.30284131195441,-2.18450939355237,-2.41898980462554,-2.21607877675604,-2.36049365011232,-2.2427301447995,-2.17467522287824,-2.41391683091487,-2.36802106246397,-2.35617897443124,-2.33804844576111,-2.41485960537647,-2.35242300123707,-2.20920500472289,-2.19933835435982,-2.39701052318499,-2.20149203380785,-2.24944339659646,-2.28824005166422,-2.30442901478207,-2.44102306947602,-2.42099045349246,-2.13556458709969,-2.26003908474345,-2.41630353107298,-2.28233433827069,-2.43378597489303,-2.13384127351987,-2.30023231666773,-2.32515561444779,-2.33196463683038,-2.15591211126873,-2.50254147208867,-2.28275845257467,-2.43009278894538,-2.01574806178694,-2.26428334231904,-2.0228359578448,-2.25541217058531,-2.30951145365601,-2.45693867825343,-2.29534512352727,-2.25382799710954,-2.38022823093135,-2.18881001096106,-2.28475060196103,-2.2194422636745,-2.45180285741663,-2.39429463576533
"",0,0,0.0628942088812148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123672776937924,0,0,0,0.00794151698936385,-0.0238951649661194,0,0,0,0,0,0,0,-0.0765105731332493,0,0,0,-0.0459873846717795,0,0,0,0,0.0508400096713432,0,0,0,0,0,-0.0286018913732477,0,0,0,0,-0.0884096023722493,0,0,0.0458235667859189,0,0,0,-0.0422201361799515,0,0,0,0,0,0,0,0,0.0840462878859567,0,0,0,0.0629948581253019,0,0,0,-0.113727628301071,0,0,-0.152499528629053,0,0,0,0.0340909723336389,-0.062651531098574,0,-0.141156828658391,0,0,0,0,0,0,0,0,0,0,0,0,-0.0472584674607417,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006500877365051,0,0,0,0,0.0673531148448492,0,0,0,0,0,0,0,0,-0.0210375778275266,0,-0.0929680272646592,0,-0.00750699818975249,0,0,0,0,0,0,0,0,0,0,0,-0.0669410019783049,0,0,0,0,0,-0.0989111576144232,0,0,0,0,0,0,0,0,0,0,0,-0.0281838411716733,0,0,0,0,0,-0.0797382945127438,0,0,0,0,-0.00881005872537896,0,0,0,0,0,0.121943354296032,0,0.000198583149868231,0.0426859764472402,0,0,0,0,0,0.150569599292767,0,0,0,0,0,0.0158082097298445,0
"",0,0,0,0,0,-0.0102111478933544,-0.060598892971152,0,0,0,0,0,0,0,0,0,0,0,-0.0373517332636991,0,0,0,0,0,0,0,0,-0.0576051162715025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04116510511269,0,0,0,0,-0.156715320509116,-0.026021392079581,0,0,0,0.160873079664059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063105404192841,-0.169299244390356,0,-0.00548101641346132,0,0,0,0,-0.0981004294655777,0,-0.0450632393900371,0,0,0,-0.189711042348453,0,0,-0.0919224971965056,-0.00134556410215312,0,0,0,0,0,0,-0.0725976552465658
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295074806980008,0,-0.120748347745289,0.157172638754119,-0.0814601205365263,0,0.0512826799073248,-0.184804375928636,0,0,-0.0601335529554561,0,-0.065758323768947,0,0,-0.0130874644235959,0,0,0,0,0,0,-0.0249864134495397,0,-0.115195730696858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543222395648726,0,0,0.173303526877658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0875098306831545,0,0,0,0,0,0,0.0630601418362555,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128529857344946,0,0,0.0287569394292703,0,0,0,0,-0.095991510229706,-0.105654786474759,0,0,-0.0209299920757451,0.0218210720797502,-0.00719483259408327,0,0,0,-0.0245065107290615,-0.166124930562208,0,0,0,0,-0.102812884236052,-0.0045639210116716,0,0,0,0,0,0,0.00128007632888811,0,-0.0594313126856665,0,0,0,0,0,0,-0.0879409368564176,0,0,0,0,-0.105345201085221,0,0,0,-0.0569755419912272,0,0,0,0,0,0,0,0,0,0,-0.0773713306020324,0,0,0,0,0,-0.00490027143569564,0,0,0,-0.046883712908382,0,0,0,0,0,0,-0.105178724144603,0,0,0,0,0,-0.11982217612357,0
"",0,0,0,0,0,0.00031284039824735,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308547828626081,0,-0.123577674084921,0,0,0,0,-0.137250018937743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136891501954425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005171232286339,0,0,0,0,-0.0420992779080768,0,0,-0.0217221170448602,0,-0.0903613205230255,0,0,0,0,-0.125382841014993,0,0,0,0,0,-0.2699864241077,0,0,0,0,0,0,0,-0.056280483714475
"",0,0,0,0,-0.0159807348567106,0,0,0,0,-0.0459692552097689,0,0,0,0,0,0,0,-0.0101345824856706,0,0,-0.0625692495806499,-0.000622570286769442,-0.0172659657918109,0,0,0.00695083659285951,0,0,0,0,0,-0.0271142675519946,0,0,0,0,0,-0.00744184225209469,0,0,0,0,0,0,-0.216305293275878,0,0,0,-0.0177709658560926,-0.0986192624449806,-0.0246216090222725,-0.109176724329226,0,0,0,0,-0.0641527007601956,0,0,0,0,0,-0.0862942569537078,0,0,0,0,0,0,0,0,0,0,-0.123727307998002,-0.215734073199398,0,-0.00235301226849596,-0.111716772867847,0,0,0,-0.0639008652102798,0,0,0,0,0.197970905788684,-0.111046512686172,0,0,0,0,-0.142977805440685,-0.0772141172563351,0,0,-0.0942404778395266,0,0,0,0
"",-0.86314721074626,-0.721971243552299,-0.719558636157102,-0.831998824509007,-0.647075382284099,-0.624341910909713,-0.785926549466568,-0.853836725134593,-0.647721940869908,-0.974552642915599,-0.626876256665684,-0.632466223643072,-0.744908683148178,-0.84753095286358,-0.709719619312054,-0.532237179404577,-0.796749393446855,-0.980041970814071,-0.814914923365297,-0.66224871188757,-0.594345694519436,-0.795138340052357,-0.647334838737272,-0.917390744421137,-0.779952555864751,-0.622057094089119,-0.714816572266275,-0.966816651088723,-0.828948399353626,-0.715973928438765,-0.88032239119411,-0.791416381106651,-0.693977953174488,-0.925799935779363,-0.933990102454746,-0.814741015470683,-0.774352582779657,-1.01771370202119,-0.812675762798533,-0.831091908210409,-0.848940234076821,-0.676527925170587,-0.946854422462697,-0.697186202706534,-0.917524454819678,-0.674526210164378,-0.886909244834348,-0.706487839393599,-0.52901736847164,-0.423445252325091,-0.8175973333682,-0.573241297421228,-0.832188385376336,-0.652818752242551,-0.665049619321323,-0.862634868529355,-1.02870304834263,-0.786954365719105,-0.594210179873637,-0.746732241081512,-0.782709761904809,-0.668103551849335,-0.911466037271474,-0.570102088851466,-0.758456296565673,-0.855699265482912,-0.703812227386831,-0.769250786154021,-0.663454545151825,-0.721231401618743,-0.593213707365561,-0.704035150539835,-0.771642400157696,-0.781885581001584,-0.696653660756626,-0.811182507233035,-0.705445081178053,-0.570783068868607,-0.730058146871708,-0.786539556817405,-0.595146408699408,-0.686385218243568,-0.559384757721137,-0.773375966102269,-0.789036125226124,-0.667120407724425,-0.820535392345875,-0.689027871326428,-0.807149522636941,-0.688025006433716,-0.734471063761216,-0.745350247492773,-0.585336224212415,-0.761521284293077,-0.691072436690469,-0.72152173176073,-0.642301325022485,-0.738924895323217,-0.760835802238943,-0.755136129851187,-0.745455303944023
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00925662772465054,0,0,0,0,0,0,0,-0.202355696599031,0,0,0,-0.130998071106871,0,-0.065956608117029,0,0,0,-0.122538290661502,-0.128114928401254,0,0,0,0,0,0,0,0,0.149953344374988,0,0,0,0,-0.0980644321024812,0,0,0,0,0,-0.052071420236029,0,0,-0.00914715276836972,0,0,0,0,0,-0.135766740513063,0,0,0,0,0,0,0,-0.065855974710866,0,0,0,-0.0570602422632628,0,0,0,0,0,0,-0.168879719299931,0,-0.127733475859972,0,0,0,0,0,0,-0.0252643403177598,0,0,0,0,0,0,0.030007964356929,-0.0166821678811499
