"","True Beta","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"",-1.879361432227,-1.46902082697292,-1.53442435577239,-1.53871350630263,-1.53446136134685,-1.35191456654149,-1.73072023581611,-1.579702325816,-1.61215874270898,-1.92625247560657,-1.60327604399835,-1.56981674778389,-1.52905653877179,-1.53710770288089,-1.40109148067554,-1.61104159611355,-1.65112325108887,-1.86134223629698,-1.79862135615429,-1.65091045540307,-1.31409696929442,-1.26131933780494,-1.30036801087118,-1.80425132484336,-1.74544138420774,-1.71725379933405,-1.6659969616388,-1.39539169730037,-1.69637486221747,-1.38998604955522,-1.4383527649598,-1.66710538320734,-1.62643890810171,-1.92367280949002,-1.73248218400589,-1.59448385623547,-1.42577233649958,-1.74752940025188,-1.2950564133066,-1.59826252314192,-1.71079934892715,-1.58040625310376,-1.71538307459383,-1.60488251057803,-1.53085777465046,-1.61976653485528,-1.4100910404679,-1.63091548569216,-1.5508359032745,-1.31851062343172,-1.36467188956116,-1.7657745093614,-1.7148659659338,-1.76898055919416,-1.56908118097552,-1.47877927327409,-1.43319106754016,-1.66419785211741,-1.50738997940013,-1.82101638223497,-1.84881301249713,-1.6879468238375,-1.709289363185,-1.9119163648633,-1.78134969834231,-1.80291515152503,-1.48941942043104,-1.61779310666137,-1.43476250233908,-1.20877854760805,-1.38237158829514,-1.70611969621406,-1.49846511741968,-1.40799610757534,-1.42987279114176,-2.17462883737469,-1.41444611747503,-1.66031377017954,-1.6230626793834,-1.67865139849662,-1.74520487276866,-1.60966926670943,-1.39596411537962,-1.40905014476099,-1.61028124943614,-1.4440300676504,-1.67551486317947,-1.35074045479963,-1.90242513669167,-1.30923927794287,-1.76250163823046,-1.38936951142857,-1.87507968221821,-1.61259836787503,-1.82420689246997,-1.37852602177789,-1.57286838794857,-1.74958513839131,-1.74911200626185,-1.26424535130838,-1.65398775077838
"",0.550929972666247,0,0.338503337931069,0.435706923930072,0,0.325270958850741,0.278742878983998,0.281995088704364,0,0.36833173785834,0.17433980771599,0,0,0.266330886410122,0.52706976832038,0.173572100074367,0.254741975936298,0.430968864198151,0.184681954310846,0.369592029182906,0.246159147533947,0.178627229190905,0,0,0.180008801458133,0.141694552607115,0.3877217109634,0.365036418524253,0.467414713345905,0,0,0,0.279261799072911,0,0,0,0,0.17176854240728,0,0,0.254465590264512,0.369298251317004,0.368921733052155,0.223111117661262,0.214423151357101,0.5495544296855,0,0.175290619884209,0.340873448124983,0,0,0.391450403217048,0,0.0877324012023938,0,0.309618833675035,0.199869963583355,0,0,0,0.582584814281696,0.650255348848112,0.169671423020051,0,0.221347783537085,0.241669813363404,0.51273582630702,0.380044529012184,0.402004940160427,0,0.417862886952411,0.166307283693637,0,0.213753845484899,0.227217336266754,0.143895045482746,0,0,0.381290414264632,0.305303937181734,0.328637086904386,0.379841876288462,0,0.0980078034528443,0.339390226952956,0,0.5035470717669,0.0699149178875676,0.490146150111695,0,0.223223903281111,0.491504700169848,0.245623366649886,0.569798683322334,0.275304286964163,0.290441547557663,0.273054175646237,0.4210672128033,0.0999816483448951,0,0.373008901947883
"",0,0,0,0,0,0,0,0,0,0,0.16613480817184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125873060427139,0,0,0.247065138659392,0,0,0,0,0,0,0,-0.24346954736602,0.305331383519793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00891253939560158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121872576979055,0,0,0,0,-0.272158952741164,0,0,0,0,0,0,0.0333310935956363,0,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0.218982486721467,0,0.206860458514535,0,0,0,0,0,-0.0863268228296227,0.143047734024829,0,0,0,0,0,0,0,0,0,0,0.00374816776806314,0,0,0,0,0,0,0,0,0,0,-0.114422788052636,0,0,0,0,0,0,0,0,0,0,0,-0.0509402473777946,0,0,0,-0.188646398489633,0,0,0.010652503310983,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39260077374537,0,0,-0.086952761520607,0,0,-0.0499854890106388,0,0,0,0,0,0,0.0412260905987673,0,0,0,0,0,0,0,0,0,0.294228348129408,0,-0.277376416673866
"",0,0,0,-0.0111081760968329,0,0,0,0,-0.0479107886888654,-0.216240118934267,0.0481276122813468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769263048624647,0,-0.0759614479963397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104776274412782,0.151882326185896,0,0,0,0,0,0,0,-0.0528364300275728,0,-0.0573742705525598,0,0,0,0,0,0,0,0,0,0,0,0.0841125258734929,0,0,0,0,0,0,0,0,0,0.346489774318551,0,0,0,0,0,0,0,0,0,-0.0519000280719262,0,0,0,0,0,0,0,-0.171025327208672,0,0,0,0,0,0,-0.332742434242524
"",0,0,0,0,0,0,0.066336655937625,0,0,0,0,0,0,0,-0.121148424066819,-0.165192444070682,0,0,0,0,0,0,0,-0.236670728927359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135141780795767,0,-0.0745867413382314,0,0,0,0,0,0,0,0,-0.152393920003356,0,0,0,0,0,0,0,0,0,0,-0.121457688587407,0,0,0,0,0,0,0,-0.0663267718001333,0,0,0,0,0,0,0,0,0.213249843755546,0,-0.015937555005273,0,0,0,0,0,0,-0.031364606336413,0,0,0.0189112822997381,0,0,-0.0641806172112994,0,0.126647867812807,0,0,0,0
"",0,0,0,0,0,0,0,-0.128540974131268,0,0,0,0,0,0,0,0.0694169046111607,0,0,0,0.187350008139567,0,0,0,0,0,0.107508323860117,-0.251661591545066,0,0,0,0,0,0,0,0,0,0,0,0.164455401147996,0,0,0,0.00726090672693363,-0.0992261211654032,-0.100714495518239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184685044848101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344321976473632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937855246652467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159138996759018,0,0,0,0,0,0,0,0,0,0.0225708649298831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00755400509489192,0,0,0,0,0,0,0,-0.138129176096888,0,-0.0898433502717189,0,-0.0282493529597326,0,0,0,0,0,0,0,0,0,-0.00265550093885249,0,0,0,0,0,0,0,0,0,0,0,0,0
"",0,0,0,-0.0585895281845696,0,0,0,0,0,-0.144703733983683,-0.255534126745685,0,-0.0783662680177438,0,0,0.223150428545777,0,0,0,0.130730867678269,0,0,0,0,0,0,-0.221967188827169,0,0,0,0,0,0,0,0,0,0,0.0255289181543023,0,0.158947208836008,0,0,0.11964738033377,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092030743385999,0,0,0.0222013913212626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184711494414257,0,0,0,0.0311472530229222,-0.0157531351395069,-0.0926220406295248,-0.164499857368906,0.059863854876673,0,0,0,0,0,0
"",-0.916165161469068,-0.549681848689635,-0.394616019347164,-0.685112883732009,-0.554323560378359,-0.431109004023523,-1.01589896125154,-0.507537621537856,-0.500166995012536,-0.908538122518985,-0.581724327424387,-0.708897155154955,-0.676233914710219,-0.795306925302811,-0.905661162831244,-0.861067096654276,-0.632393607091499,-0.77064621517415,-0.627115701590911,-1.08655699095728,-0.990340714657117,-0.455655213441194,-0.285349289230264,-0.998807480705073,-0.617420953207422,-0.59840057543294,-0.687271338303882,-0.43291119742932,-0.577841889756672,-0.708005556125765,-0.530801390621437,-0.612048522705393,-0.638935197878172,-0.684815324491992,-0.751407888790858,-0.472125676067831,-0.300868220821927,-0.183689272609494,-0.848763702238454,-0.54188461024225,-0.625730206009737,-0.744648644900382,-0.62382458743035,-0.852627428792587,-0.671306095894265,-0.671784790891696,-0.720589764367856,-0.805868290266133,-0.77016556399726,-0.825769699652562,-0.625337798074778,-0.485053212949297,-0.549344434545627,-0.697583002421597,-0.486080509471523,-0.661953882490268,-0.716789282659439,-0.447931148050494,-0.665752524283175,-0.521356768920425,-0.709632300387444,-0.981042575157368,-0.516751555648325,-0.418412500034844,-0.616510082803239,-0.452244075040331,-0.858543086616747,-0.690920632106881,-0.670940685581518,-0.665621115986575,-0.666198434479137,-0.549309620808484,-0.837330381898116,-0.591465117521701,-0.435819082538294,-1.17686634822591,-0.748908787108858,-0.496902199730801,-0.636572055135612,-0.645350797988363,-0.661665427142399,-0.576158636672621,-0.833325366589986,-0.342015347483116,-0.893210171498195,-0.486125550044676,-0.632999865160178,-0.429150851738202,-0.955853017776437,-0.646877298685617,-0.598730108969345,-0.632531471954033,-0.614578749003722,-1.0493720597492,-0.728420515145491,-0.559146513137448,-0.584970922744661,-0.497483407030606,-0.92405392858518,-0.290620196877933,-0.613097989690682
